# TIME = 65.000000
VARIABLES = X, Y, Z, U, V, W
ZONE N=2562 E=5120 F=FEPOINT ET=TRIANGLE
0.0000002 0.5178046 0.4094018 0.000000 -0.000357 -0.000010
0.0000002 -0.5178045 0.4094017 0.000000 0.000357 -0.000010
-0.0000002 0.5178046 -0.4094017 -0.000000 -0.000357 0.000010
-0.0000002 -0.5178045 -0.4094017 0.000000 0.000357 0.000010
1.3358636 0.4532920 -0.0000002 -0.000919 -0.000076 0.000000
-1.3358636 0.4532920 0.0000002 0.000919 -0.000076 0.000000
1.3358636 -0.4532920 -0.0000002 -0.000919 0.000076 0.000000
-1.3358636 -0.4532920 0.0000002 0.000919 0.000076 -0.000000
0.8498018 0.0000000 0.5855889 0.000001 -0.000000 -0.000326
0.8498012 0.0000000 -0.5855890 0.000001 0.000000 0.000326
-0.8498012 0.0000000 0.5855890 -0.000001 0.000000 -0.000326
-0.8498018 0.0000000 -0.5855889 -0.000001 0.000000 0.000326
0.0848711 0.5276035 0.3959003 0.000094 -0.000269 -0.000121
0.1787236 0.5358461 0.3807038 0.000174 -0.000254 -0.000155
0.2690701 0.5465117 0.3579142 -0.000021 -0.000321 -0.000048
0.3582944 0.5527846 0.3376778 -0.000137 -0.000308 -0.000049
0.4467239 0.5580078 0.3146944 -0.000302 -0.000314 -0.000002
0.5342489 0.5609742 0.2909022 -0.000450 -0.000242 -0.000089
0.6210866 0.5621701 0.2651640 -0.000522 -0.000224 -0.000096
0.7077063 0.5611085 0.2379594 -0.000546 -0.000189 -0.000157
0.7943495 0.5573931 0.2096724 -0.000509 -0.000204 -0.000129
0.8805928 0.5507083 0.1808668 -0.000551 -0.000191 -0.000139
0.9655765 0.5410437 0.1516884 -0.000504 -0.000206 -0.000122
1.0483766 0.5285027 0.1220719 -0.000513 -0.000218 -0.000068
1.1280358 0.5132214 0.0918976 -0.000572 -0.000209 -0.000024
1.2035481 0.4953465 0.0611363 -0.000603 -0.000197 -0.000024
1.2732783 0.4752300 0.0302440 -0.000705 -0.000163 0.000024
0.0928188 0.5596915 -0.3488944 -0.000029 -0.000305 0.000062
0.1821743 0.5689745 -0.3288221 -0.000076 -0.000283 0.000093
0.2722366 0.5768679 -0.3062789 -0.000144 -0.000295 0.000058
0.3617160 0.5821211 -0.2835579 -0.000263 -0.000289 0.000043
0.4505428 0.5853224 -0.2595254 -0.000373 -0.000281 0.000026
0.5386445 0.5863540 -0.2342747 -0.000465 -0.000246 0.000070
0.6261493 0.5851654 -0.2076163 -0.000489 -0.000226 0.000103
0.7131447 0.5814958 -0.1798031 -0.000537 -0.000216 0.000100
0.7994220 0.5751234 -0.1511314 -0.000525 -0.000211 0.000115
0.8844446 0.5659232 -0.1218599 -0.000513 -0.000221 0.000076
0.9675221 0.5538742 -0.0920783 -0.000547 -0.000215 0.000057
1.0480013 0.5389789 -0.0617869 -0.000553 -0.000213 0.000053
1.1253890 0.5211909 -0.0310029 -0.000593 -0.000205 -0.000004
1.1996783 0.5002910 -0.0000002 -0.000745 -0.000155 0.000000
0.0926685 0.5879500 -0.2988810 -0.000130 -0.000321 0.000010
0.1837189 0.5963221 -0.2760193 -0.000122 -0.000294 0.000053
0.2744205 0.6022547 -0.2524351 -0.000227 -0.000299 0.000020
0.3645405 0.6057506 -0.2281876 -0.000285 -0.000278 0.000050
0.4539548 0.6069373 -0.2029252 -0.000382 -0.000270 0.000034
0.5425884 0.6057791 -0.1765520 -0.000453 -0.000249 0.000060
0.6303894 0.6021766 -0.1490446 -0.000473 -0.000240 0.000066
0.7171988 0.5959724 -0.1205556 -0.000485 -0.000234 0.000071
0.8026908 0.5870279 -0.0912737 -0.000518 -0.000230 0.000047
0.8864439 0.5752385 -0.0613530 -0.000528 -0.000225 0.000057
0.9681006 0.5604965 -0.0308912 -0.000538 -0.000225 -0.000005
1.0475728 0.5426138 -0.0000001 -0.000624 -0.000200 0.000000
1.1253890 0.5211909 0.0310026 -0.000593 -0.000205 0.000004
0.0927244 0.6116407 -0.2468461 -0.000091 -0.000316 -0.000005
0.1847097 0.6183504 -0.2222477 -0.000172 -0.000292 0.000039
0.2761565 0.6223896 -0.1973484 -0.000228 -0.000288 0.000030
0.3669039 0.6238986 -0.1718443 -0.000331 -0.000278 0.000025
0.4567975 0.6229402 -0.1454640 -0.000369 -0.000266 0.000039
0.5456804 0.6194800 -0.1180928 -0.000436 -0.000255 0.000040
0.6333737 0.6134247 -0.0897343 -0.000476 -0.000245 0.000044
0.7196470 0.6046507 -0.0604963 -0.000497 -0.000239 0.000041
0.8042536 0.5930235 -0.0305299 -0.000503 -0.000237 0.000015
0.8870394 0.5783835 -0.0000001 -0.000555 -0.000224 0.000000
0.9681006 0.5604965 0.0308909 -0.000538 -0.000225 0.000005
1.0480013 0.5389789 0.0617866 -0.000553 -0.000213 -0.000053
0.0929568 0.6306250 -0.1932877 -0.000114 -0.000307 -0.000008
0.1855585 0.6353522 -0.1674762 -0.000166 -0.000295 0.000012
0.2775697 0.6373440 -0.1414596 -0.000251 -0.000284 0.000024
0.3687455 0.6367184 -0.1148714 -0.000299 -0.000276 0.000028
0.4588458 0.6334978 -0.0874729 -0.000384 -0.000267 0.000015
0.5476377 0.6276333 -0.0591631 -0.000405 -0.000260 0.000027
0.6349011 0.6190261 -0.0299641 -0.000448 -0.000253 0.000004
0.7204597 0.6075452 -0.0000001 -0.000495 -0.000242 0.000000
0.8042537 0.5930235 0.0305297 -0.000503 -0.000237 -0.000015
0.8864440 0.5752385 0.0613528 -0.000528 -0.000225 -0.000057
0.9675222 0.5538742 0.0920780 -0.000547 -0.000215 -0.000057
0.0932657 0.6448380 -0.1386906 -0.000096 -0.000300 -0.000008
0.1862670 0.6474169 -0.1120039 -0.000182 -0.000289 0.000014
0.2786051 0.6472339 -0.0850607 -0.000247 -0.000284 0.000007
0.3699278 0.6443484 -0.0575232 -0.000318 -0.000275 0.000014
0.4599182 0.6387420 -0.0291891 -0.000359 -0.000269 0.000008
0.5483060 0.6303403 -0.0000001 -0.000442 -0.000257 0.000000
